url,headline,player,score
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanove001.html,Henman overcomes rival Rusedski,Igor Andreev,4-6 7-6 (8-6) 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererwi098.html,Federer wins title in Rotterdam,Roger Federer,5-7 7-5 7-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/afinslum002.html,Safin slumps to shock Dubai loss,Mikhail Youzhny,7-6 (7-2) 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/gassiint096.html,Agassi into second round in Dubai,Greg Rusedski,6-4 7-5
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oddickin004.html,Roddick into San Jose final,Tommy Haas,7-6 (7-3) 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanhop095.html,Henman hopes ended in Dubai rain,Nikolay Davydenko,7-5 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/njuredRo094.html,Injured Roddick quits in Memphis,Andy Roddick,7-5 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oungdebu006.html,Young debut cut short by Ginepri,Andy Roddick,6-2 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lijsters093.html,Clijsters sets up Venus match-up,Kim Warwick,7-5 6-7 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/elzersho007.html,Melzer shocks Agassi,Andre Agassi,6-3 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererfo008.html,Federer forced to dig deep,Ivo Karlovic,4-6 6-3 7-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oddickto091.html,Roddick to face Saulnier in final,Tommy Haas,7-6 (7-3) 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/adalmarc009.html,Nadal marches on in Mexico,Felix Mantilla,7-5 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/irzamake090.html,Mirza makes Indian tennis history,Mirza Basic,6-4 5-7 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/antuchova010.html,Hantuchova in Dubai last eight,Mirza Basic,7-5 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/elzersho089.html,Melzer shocks Agassi in San Jose,Andre Agassi,6-3 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lmagroco088.html,Almagro continues Spanish surge,Gaston Gaudio,6-7 6-4 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/iggunse087.html,Big guns ease through in San Jose,Andre Agassi,7-5 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/usedskif086.html,Rusedski forced out in Marseille,Mario Ancic,6-4 7-5
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanhop014.html,Henman hopes ended in Dubai,Tim Henman,7-5 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oderling085.html,Soderling wins tense Milan final,Radek Stepanek,6-3 6-7 (2-7) 7-6 (7-5)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/irzashoc015.html,Mirza shocks Kuznetsova,Mirza Basic,6-4 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/eteranMa084.html,Veteran Martinez wins Thai title,Mario Martinez,6-3 3-6 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/afinreli083.html,Safin relieved at Aussie recovery,Roger Federer,1-6 6-3 6-4 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/entconti078.html,Dent continues Adelaide progress,Olivier Rochus,6-1 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lovakiar077.html,Slovakia reach Hopman Cup final,Dominik Hrbaty,6-4 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/adalputs071.html,Nadal puts Spain 2-0 up,Andy Roddick,6-7 (6/8) 6-2 7-6 (8/6) 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfig066.html,Hewitt fights back to reach final,Andy Roddick,3-6 7-6 (7-3) 7-6 (7-4) 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittsur063.html,Hewitt survives Nalbandian epic,David Nalbandian,6-3 6-2 1-6 3-6 10-8
http://comp20008-jh.eng.unimelb.edu.au:9889/main/dgyAgass060.html,Edgy Agassi struggles past Dent,Kim Warwick,7-5 7-6 (7-3) 6-1
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyasuffe057.html,Moya suffers shock loss,Bjorn Borg,7-5 6-3 3-6 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/auresmoo054.html,Mauresmo opens with victory in LA,Kim Warwick,6-1 6-0
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ryantwin052.html,Bryan twins keep US hopes alive,Juan Carlos Ferrero,6-0 6-3 6-2
